"","Gene.Description","Gene.Accession.Number","index"
"2934","Coatomer protein (COPA) mRNA","U24105_at",2934
"2935","P21-activated protein kinase (Pak1) gene","U24152_at",2935
"2936","EB1 mRNA","U24166_at",2936
"2937","JTV-1 (JTV-1) mRNA","U24169_at",2937
"2938","GB DEF = Replication protein A complex subunit homolog Rpa4 gene","U24186_at",2938
"2939","Pyrroline-5-carboxylate dehydrogenase (P5CDh) mRNA; long form","U24266_at",2939
"2940","Breast tumor autoantigen mRNA; complete sequence","U24576_at",2940
"2941","GB DEF = LDL-phospholipase A2 mRNA","U24577_at",2941
"2942","Ras GTPase-activating-like protein (IQGAP1) mRNA","U24704_at",2942
"2943","GRL Glucocorticoid receptor alpha {alternative products}","U25029_at",2943
"2944","5C5 mRNA; putative complete cds","U25041_at",2944
"2945","PTH2 parathyroid hormone receptor mRNA","U25128_at",2945
"2946","MaxiK potassium channel beta subunit mRNA","U25138_at",2946
"2947","Fragile X mental retardation protein 1 homolog FXR1 mRNA","U25165_at",2947
"2948","Antioxidant enzyme AOE37-2 mRNA","U25182_at",2948
"2949","Protein tyrosine kinase t-Ror1 (Ror1) mRNA","U25265_at",2949
"2950","Protein associated with tumorigenic conversion (CATR1.3) mRNA","U25433_at",2950
"2951","Transcriptional repressor (CTCF) mRNA","U25435_at",2951
"2952","GB DEF = Chromosome 17q21 mRNA clone 1046:1-1","U25750_at",2952
"2953","Ribosomal protein L21 mRNA","U25789_at",2953
"2954","Tax1 binding protein mRNA; partial cds","U25801_at",2954
"2955","GB DEF = Transcription factor (SC1) gene","U25826_at",2955
"2956","ACP1 Acid phosphatase 1; soluble","U25849_at",2956
"2957","SELPLG Selectin P ligand","U25956_at",2957
"2958","Stanniocalcin precursor (STC) mRNA","U25997_at",2958
"2959","Translation initiation factor eIF-2alpha mRNA; 3'UTR","U26032_at",2959
"2960","GZMK Granzyme K (serine protease; granzyme 3)","U26174_at",2960
"2961","Inositol polyphosphate 4-phosphatase mRNA","U26398_at",2961
"2962","EPLG7 Eph-related receptor tyrosine kinase ligand 7","U26403_at",2962
"2963","ICA1 Islet cell autoantigen 1 (69kD)","U26591_at",2963
"2964","STX5A Syntaxin 5A","U26648_at",2964
"2965","Cbl-b mRNA","U26710_at",2965
"2966","Cbl-b truncated form 1 lacking leucine zipper mRNA","U26712_at",2966
"2967","11 beta-hydroxysteroid dehydrogenase type II mRNA","U26726_at",2967
"2968","CDKN2A Cyclin-dependent kinase inhibitor 2A (melanoma; p16; inhibits CDK4)","U26727_at",2968
"2969","Ras-responsive element binding protein (RREB-1) mRNA","U26914_at",2969
"2970","Prepromultimerin mRNA","U27109_at",2970
"2971","RAR-responsive (TIG1) mRNA","U27185_at",2971
"2972","Protein-tyrosine phosphatase mRNA","U27193_at",2972
"2973","FUT5 Fucosyltransferase 5 (alpha (1;3) fucosyltransferase)","U27330_at",2973
"2974","Origin recognition complex protein 2 homolog hORC2L mRNA","U27459_at",2974
"2975","RGP3 mRNA","U27655_at",2975
"2976","SODIUM- AND CHLORIDE-DEPENDENT BETAINE TRANSPORTER","U27699_at",2976
"2977","RGP4 mRNA","U27768_at",2977
"2978","GB DEF = Striatum-enriched phosphatase (STEP) mRNA; partial cds","U27831_at",2978
"2979","DEAD box RNA helicase-like protein mRNA","U28042_at",2979
"2980","GB DEF = Plasma membrane Na+/H+ exchanger isoform 3 (NHE3) mRNA","U28043_at",2980
"2981","GB DEF = HMGI-C chimeric transcript mRNA; partial cds","U28131_at",2981
"2982","GB DEF = Adrenoleukodystrophy related protein (hALDR) gene; partial cds","U28150_at",2982
"2983","MAT8 protein","U28249_at",2983
"2984","Krueppel-type zinc finger protein (ZNF169) gene; partial cds","U28251_cds2_at",2984
"2985","SCTR Secretin receptor","U28281_at",2985
"2986","ID4 Inhibitor of DNA binding 4; dominant negative helix-loop-helix protein","U28368_at",2986
"2987","Semaphorin V mRNA","U28369_at",2987
"2988","RCH1 RAG (recombination activating gene) cohort 1","U28386_at",2988
"2989","Cockayne syndrome complementation group A CSA protein (CSA) mRNA","U28413_at",2989
"2990","Putative RNA binding protein RNPL mRNA","U28686_at",2990
"2991","ZNF157 Zinc finger protein 157 (HZF22)","U28687_at",2991
"2992","PAPPA Pregnancy-associated plasma protein A","U28727_at",2992
"2993","Cysteine-rich fibroblast growth factor receptor (CFR-1) mRNA","U28811_at",2993
"2994","Protein immuno-reactive with anti-PTH polyclonal antibodies mRNA; partial cds","U28831_at",2994
"2995","Down syndrome critical region protein (DSCR1) mRNA","U28833_at",2995
"2996","Gps2 (GPS2) mRNA","U28963_at",2996
"2997","GB DEF = Selenium-binding protein (hSBP) mRNA","U29091_at",2997
"2998","CSNK1D Casein kinase 1; delta","U29171_at",2998
"2999","NPTX2 Neuronal pentraxin II","U29195_at",2999
"3000","HMMR Hyaluronan-mediated motility receptor (RHAMM)","U29343_at",3000
"3001","MUSCARINIC ACETYLCHOLINE RECEPTOR M3","U29589_at",3001
"3002","EIF-2-associated p67 homolog mRNA","U29607_at",3002
"3003","Chitotriosidase precursor mRNA","U29615_at",3003
"3004","NME1 Non-metastatic cells 1; protein (NM23A) expressed in","U29656_at",3004
"3005","Bcl-2 related (Bfl-1) mRNA","U29680_at",3005
"3006","GB DEF = Anti-mullerian hormone type II receptor precursor gene","U29700_at",3006
"3007","BMK1 alpha kinase mRNA","U29725_at",3007
"3008","Pigment epithelium-derived factor gene","U29953_rna1_at",3008
"3009","ORL1 receptor","U30185_at",3009
"3010","GB DEF = Myelomonocytic specific protein (MNDA) gene; 5' flanking sequence and complete exon 1","U30245_at",3010
"3011","Bumetanide-sensitive Na-K-Cl cotransporter (NKCC1) mRNA","U30246_at",3011
"3012","PGD Phosphogluconate dehydrogenase","U30255_at",3012
"3013","GB DEF = Diadenosine tetraphosphatase mRNA","U30313_at",3013
"3014","FRAP FK506 binding protein 12-rapamycin associated protein","U30521_at",3014
"3015","CD94 CD94 antigen (NK/T-cell C-type lectin receptor)","U30610_at",3015
"3016","Splicing factor SRp30c mRNA","U30825_at",3016
"3017","Splicing factor SRp55-2 (SRp55) mRNA","U30828_at",3017
"3018","CENP-F kinetochore protein mRNA","U30872_at",3018
"3019","TRNA-guanine transglycosylase mRNA","U30888_at",3019
"3020","N-sulphoglucosamine sulphohydrolase mRNA","U30894_at",3020
"3021","CGT UDP-galactose ceramide galactosyl transferase","U30930_at",3021
"3022","GB DEF = (nmd) mRNA; 3'UTR","U30998_at",3022
"3023","GB DEF = (memc) mRNA; 3'UTR","U30999_at",3023
"3024","GB DEF = DP prostanoid receptor (PTGDR) mRNA; partial cds","U31099_at",3024
"3025","Beta-sarcoglycan A3b mRNA","U31116_at",3025
"3026","Interleukin-13 (IL-13) precursor gene","U31120_rna1_at",3026
"3027","HERV1 mRNA","U31176_at",3027
"3028","Laminin gamma2 chain gene (LAMC2)","U31201_cds1_at",3028
"3029","ZNF174 Zinc finger protein 174","U31248_at",3029
"3030","NUCLEOBINDIN PRECURSOR","U31342_at",3030
"3031","G protein gamma-4 subunit mRNA","U31382_at",3031
"3032","G protein gamma-10 subunit mRNA","U31383_at",3032
"3033","G protein gamma-11 subunit mRNA","U31384_at",3033
"3034","Intestinal and liver tetraspan membrane protein (il-TMP) mRNA","U31449_at",3034
"3035","Fragile X mental retardation syndrome related protein (FXR2) mRNA","U31501_at",3035
"3036","IL15RA Interleukin 15 receptor alpha chain","U31628_at",3036
"3037","PMEL 17 PROTEIN PRECURSOR","U31799_at",3037
"3038","Transcriptional regulator homolog RPD3 mRNA","U31814_at",3038
"3039","Hep27 protein mRNA","U31875_at",3039
"3040","DUT DUTP pyrophosphatase","U31930_at",3040
"3041","Cartilage-specific homeodomain protein Cart-1 mRNA","U31986_at",3041
"3042","Caveolin-2 mRNA","U32114_at",3042
"3043","Syntaxin 3 mRNA","U32315_at",3043
"3044","Interleukin 11 receptor isoform (incomplete)","U32324_at",3044
"3045","RIG mRNA; complete sequence","U32331_at",3045
"3046","Channel associated protein of synapse (chapsyn-110) mRNA","U32376_at",3046
"3047","Regulator of G-protein signaling similarity (RGS7) mRNA; partial cds","U32439_at",3047
"3048","GAP SH3 binding protein mRNA","U32519_at",3048
"3049","Apolipoprotein apoC-IV (APOC4) gene","U32576_rna1_at",3049
"3050","Lambda/iota-protein kinase C-interacting protein mRNA","U32581_at",3050
"3051","Myeloid elf-1 like factor (MEF) mRNA","U32645_at",3051
"3052","CTLA8 Cytotoxic T lymphocyte-associated serine esterase 8","U32659_at",3052
"3053","CLN3 Ceroid-lipofuscinosis; neuronal 3; juvenile (Batten; Spielmeyer-vogt disease) ","U32680_at",3053
"3054","Hou mRNA","U32849_at",3054
"3055","P37NB mRNA","U32907_at",3055
"3056","Cytoplasmic dynein light chain 1 (hdlc1) mRNA","U32944_at",3056
"3057","Tryptophan oxygenase (TDO) mRNA","U32989_at",3057
"3058","Signaling lymphocytic activation molecule (SLAM) mRNA","U33017_at",3058
"3059","Lipid-activated protein kinase PRK1 mRNA","U33053_at",3059
"3060","G PROTEIN-COUPLED RECEPTOR KINASE GRK4","U33054_at",3060
"3061","Mammaglobin mRNA","U33147_at",3061
"3062","Glycine receptor beta subunit (GLRB) mRNA","U33267_at",3062
"3063","Chromosome segregation gene homolog CAS mRNA","U33286_at",3063
"3064","Defensin 6 (HD-6) gene","U33317_rna1_at",3064
"3065","K+ channel beta 2 subunit mRNA","U33429_at",3065
"3066","Putative G-protein-coupled receptor (GPR17) gene","U33447_at",3066
"3067","Cyclin A/CDK2-associated p45 (Skp2) mRNA","U33761_at",3067
"3068","Inducible poly(A)-binding protein mRNA","U33818_at",3068
"3069","Tax1-binding protein TXBP151 mRNA","U33821_at",3069
"3070","Tax1-binding protein TXBP181 mRNA","U33822_at",3070
"3071","Glycoprotein receptor gp330 precursor; mRNA","U33837_at",3071
"3072","GB DEF = Potassium channel mRNA","U33839_at",3072
"3073","Lymphoma proprotein convertase (LPC) mRNA","U33849_at",3073
"3074","Clone lambda 5 semaphorin mRNA","U33920_at",3074
"3075","GB DEF = Clone L1-204 mRNA sequence","U33921_at",3075
"3076","Proteinase-activated receptor-2 mRNA","U34038_at",3076
"3077","Selenium donor protein (selD) mRNA","U34044_at",3077
"3078","ALDH7 Aldehyde dehydrogenase 7 (NOTE: redefinition of symbol)","U34252_at",3078
"3079","GB DEF = 13kD differentiation-associated protein mRNA; partial cds","U34343_at",3079
"3080","Lymphoid nuclear protein (LAF-4) mRNA","U34360_at",3080
"3081","Retinoic acid- and interferon-inducible 58K protein RI58 mRNA","U34605_at",3081
"3082","GSS Glutathione synthetase","U34683_at",3082
"3083","GB DEF = Mercurial-insensitive water-channel gene; 5' region and partial exon 1","U34844_at",3083
"3084","Biliverdin-IXalpha reductase mRNA","U34877_at",3084
"3085","17-beta-hydroxysteroid dehydrogenase (EDH17B2) gene","U34879_rna1_at",3085
"3086","DPH2L","U34880_at",3086
"3087","Transcription factor HCSX (hCsx) mRNA","U34962_at",3087
"3088","Gamma-sarcoglycan mRNA","U34976_at",3088
"3089","TSC-22 protein mRNA","U35048_at",3089
"3090","Complexin II mRNA","U35100_at",3090
"3091","Metastasis-associated mta1 mRNA","U35113_at",3091
"3092","NECDIN related protein mRNA","U35139_at",3092
"3093","Vacuolar protein sorting homolog h-vps45 mRNA","U35246_at",3093
"3094","CRYBB1 Crystallin beta-B1","U35340_at",3094
"3095","GB DEF = Peroxisomal targeting signal import receptor (PXR1) gene; allele 5; partial cds","U35407_at",3095
"3096","Heterochromatin protein p25 mRNA","U35451_at",3096
"3097","GB DEF = Bomapin mRNA","U35459_at",3097
"3098","RACH1 (RACH1) mRNA","U35735_at",3098
"3099","Pancreatic zymogen granule membrane protein GP-2 mRNA","U36221_at",3099
"3100","Ca2+-dependent activator protein for secretion mRNA","U36448_at",3100
"3101","Lymphoid-specific SP100 homolog (LYSP100-A) mRNA","U36500_at",3101
"3102","SP100 Nuclear antigen Sp100","U36501_at",3102
"3103","Heparan N-deacetylase/N-sulfotransferase-2 mRNA","U36601_at",3103
"3104","Y-chromosome RNA recognition motif protein (YRRM) gene","U36621_cds2_at",3104
"3105","EIF3 Eukaryotic translation initiation factor 3 (eIF-3) p36 subunit","U36764_at",3105
"3106","Putative holocytochrome c-type synthetase mRNA","U36787_at",3106
"3107","CGMP-inhibited cAMP phosphodiesterase mRNA","U36798_at",3107
"3108","GB DEF = Fork head domain protein (FKHR) mRNA; 3' end","U36922_at",3108
"3109","Cleavage and polyadenylation specificity factor mRNA","U37012_at",3109
"3110","Cyclin-dependent kinase 4 (CDK4) gene","U37022_rna1_at",3110
"3111","ADD3 Adducin 3 (gamma)","U37122_at",3111
"3112","Beta 3-endonexin mRNA; long form and short form","U37139_at",3112
"3113","CYP2J2 Cytochrome P450; subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2","U37143_at",3113
"3114","Cyclophilin-like protein CyP-60 mRNA","U37219_at",3114
"3115","Cyclophilin-like protein mRNA; partial cds","U37221_at",3115
"3116","Alpha-mannosidase (6A8) mRNA","U37248_at",3116
"3117","ZNF177 KRAB zinc finger protein {alternative products}","U37251_at",3117
"3118","Microfibril-associated glycoprotein-2 MAGP-2 mRNA","U37283_at",3118
"3119","PPP2R4 Protein phosphatase 2A; regulatory subunit B' alpha-1","U37352_at",3119
"3120","MRE11 Homolog of yeast MRE11","U37359_at",3120
"3121","CtBP mRNA","U37408_at",3121
"3122","HOXA1 Homeo box A1","U37431_at",3122
"3123","TNF-related apoptosis inducing ligand TRAIL mRNA","U37518_at",3123
"3124","ALDH8 Aldehyde dehydrogenase 8","U37519_at",3124
"3125","TAC2 Tachykinin 2 (substance K; neurokinin A; neurokinin 2; neuromedin L; neurokinin alpha; neuropeptide K; neuropeptide gamma)","U37529_at",3125
"3126","IAP homolog B (MIHB) mRNA","U37547_at",3126
"3127","Neuron-specific vesicle coat protein and cerebellar degeneration antigen (beta-NAP) mRNA","U37673_at",3127
"3128","RNA polymerase II subunit (hsRPB8) mRNA","U37689_at",3128
"3129","RNA polymerase II subunit (hsRPB10) mRNA","U37690_at",3129
"3130","DLG3 Homolog 3 of Drosophila large discs","U37707_at",3130
"3131","HuR RNA binding protein (HuR) mRNA","U38175_at",3131
"3132","GB DEF = Cytochrome b pseudogene; partial cds","U38268_at",3132
"3133","GB DEF = Huntingtin associated protein (hHAP1) mRNA; partial cds","U38372_at",3133
"3134","Retinoid X receptor-gamma mRNA","U38480_at",3134
"3135","ARF-activated phosphatidylcholine-specific phospholipase D1a (hPLD1) mRNA","U38545_at",3135
"3136","Mab-21 cell fate-determining protein homolog (CAGR1) mRNA","U38810_at",3136
"3137","Stimulator of TAR RNA binding (SRB) mRNA","U38846_at",3137
"3138","TAR RNA loop binding protein (TRP-185) mRNA","U38847_at",3138
"3139","Zinc-finger protein C2H2-150 mRNA","U38864_at",3139
"3140","Zinc finger protein C2H2-171 mRNA","U38896_at",3140
"3141","Zinc finger protein C2H2-25 mRNA","U38904_at",3141
"3142","PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region)","U38980_at",3142
"3143","G protein-activated inwardly rectifying potassium channel HGIRK1/Kir3.1 mRNA","U39196_at",3143
"3144","Myosin VIIA (USH1B) mRNA","U39226_at",3144
"3145","GIPR Gastric inhibitory polypeptide receptor","U39231_at",3145
"3146","E2 ubiquitin conjugating enzyme UbcH5B (UBCH5B) mRNA","U39317_at",3146
"3147","AF-4 mRNA","U39318_at",3147
"3148","NOF1 mRNA","U39400_at",3148
"3149","Platelet alpha SNAP mRNA","U39412_at",3149
"3150","Placenta copper monamine oxidase mRNA","U39447_at",3150
"3151","XDH Xanthine dehydrogenase","U39487_at",3151
"3152","Salivary peroxidase mRNA","U39573_at",3152
"3153","BTN Butyrophilin","U39576_at",3153
"3154","MAP kinase kinase 6 (MKK6) mRNA","U39657_at",3154
"3155","BLM Bloom syndrome","U39817_at",3155
"3156","Hepatocyte nuclear factor-3 alpha (HNF-3 alpha) mRNA","U39840_at",3156
"3157","SLC18A1 Solute carrier family 18 (vesicular monoamine); member 1","U39905_at",3157
"3158","GNAQ Guanine nucleotide binding protein (G protein); q polypeptide","U40038_at",3158
"3159","SYN2 Synapsin IIb","U40215_at",3159
"3160","GB DEF = Uridine nucleotide receptor (UNR) gene","U40223_at",3160
"3161","Integrin-linked kinase (ILK) mRNA","U40282_at",3161
"3162","CDK inhibitor p19INK4d mRNA","U40343_at",3162
"3163","Spermidine/spermine N1-acetyltransferase (SSAT) gene","U40369_rna1_at",3163
"3164","3';5' cyclic nucleotide phosphodiesterase (HSPDE1A3A) mRNA","U40370_at",3164
"3165","3';5' cyclic nucleotide phosphodiesterase (HSPDE1C1A) mRNA","U40371_at",3165
"3166","3';5' cyclic nucleotide phosphodiesterase (HSPDE1C3A) mRNA; partial cds","U40372_at",3166
"3167","PSEN1 Presenilin 1 (Alzheimer disease 3)","U40380_at",3167
"3168","Serotonin N-acetyltransferase gene","U40391_rna1_at",3168
"3169","Pre-pro-megakaryocyte potentiating factor","U40434_at",3169
"3170","Ikaros/LyF-1 homolog (hIk-1) mRNA","U40462_at",3170
"3171","NAD(P) transhydrogenase","U40490_at",3171
"3172","Beta2-syntrophin (SNT B2) mRNA","U40572_at",3172
"3173","XRCC4 DNA repair protein XRCC4","U40622_at",3173
"3174","GB DEF = Tyrosyl-tRNA synthetase mRNA","U40714_at",3174
"3175","Putative voltage-gated potassium channel (KVLQT1) mRNA; partial cds","U40990_at",3175
"3176","Heat shock protein hsp40 homolog mRNA","U40992_at",3176
"3177","Retinal protein (HRG4) mRNA","U40998_at",3177
"3178","Breast cancer; estrogen regulated LIV-1 protein (LIV-1) mRNA; partial cds","U41060_at",3178
"3179","PRELP Proline arginine-rich end leucine-rich repeat protein","U41344_at",3179
"3180","Spliceosome associated protein (SAP 145) mRNA","U41371_at",3180
"3181","Gu protein mRNA; partial cds","U41387_at",3181
"3182","Deleted in split hand/split foot 1 (DSS1) mRNA","U41515_at",3182
"3183","OS-9 precurosor mRNA","U41635_at",3183
"3184","DGUOK Deoxyguanosine kinase","U41668_at",3184
"3185","GB DEF = Pancreatic beta cell growth factor (INGAP) mRNA","U41737_at",3185
"3186","PDGF associated protein mRNA","U41745_at",3186
"3187","CLTC Clathrin heavy chain {alternative products}","U41763_at",3187
"3188","Putative T1/ST2 receptor binding protein precursor mRNA","U41804_at",3188
"3189","HOXA9 Homeo box A9","U41813_at",3189
"3190","Nucleoporin 98 (NUP98) mRNA","U41815_at",3190
"3191","C-1 mRNA","U41816_at",3191
"3192","GB DEF = Sodium cotransporter RKST1 mRNA; partial cds","U41898_at",3192
"3193","54 kDa progesterone receptor-associated immunophilin FKBP54 mRNA; partial cds","U42031_at",3193
"3194","GB DEF = N33 protein form 1 (N33) gene; exon 10 and complete cds","U42359_at",3194
"3195","N33 gene","U42360_cds2_at",3195
"3196","Pancreatic polypeptide receptor mRNA","U42387_at",3196
"3197","Trio mRNA","U42390_at",3197
"3198","Ladinin (LAD) mRNA","U42408_at",3198
"3199","5'-AMP-activated protein kinase; gamma-1 subunit mRNA","U42412_at",3199
"3200","Cardiotrophin-1 (CTF1) mRNA","U43030_at",3200
"3201","CDC37 homolog mRNA","U43077_at",3201
"3202","GNAQ Guanine nucleotide binding protein (G protein); q polypeptide","U43083_at",3202
"3203","Vascular endothelial growth factor related protein VRP mRNA","U43142_at",3203
"3204","PTCH Patched (Drosophila) homolog","U43148_at",3204
"3205","GB DEF = Urocortin gene","U43177_at",3205
"3206","GB DEF = Nucleoporin nup 36 mRNA","U43279_at",3206
"3207","Selenophosphate synthetase 2 (SPS2) mRNA","U43286_at",3207
"3208","MDS1B (MDS1) mRNA","U43292_at",3208
"3209","Putative transmembrane receptor (frizzled 5) mRNA","U43318_at",3209
"3210","CRTL1 Cartilage linking protein 1","U43328_at",3210
"3211","Normal keratinocyte mRNA","U43374_at",3211
"3212","Tyrosine kinase (Tnk1) mRNA","U43408_at",3212
"3213","DNA topoisomerase III mRNA","U43431_at",3213
"3214","DRP2 Dystrophin related protein 2","U43519_at",3214
"3215","Protein tyrosine kinase PYK2 mRNA","U43522_at",3215
"3216","Malignant melanoma metastasis-suppressor (KiSS-1) gene; mRNA","U43527_at",3216
"3217","Kinase suppressor of ras-1 (KSR1) mRNA; partial cds","U43586_at",3217
"3218","Putative transmembrane receptor IL-1Rrp mRNA","U43672_at",3218
"3219","Frataxin (FRDA) gene; promoter region and","U43753_cds2_at",3219
"3220","H-neuro-d4 protein mRNA","U43843_at",3220
"3221","Grb2-associated binder-1 mRNA","U43885_at",3221
"3222","Signal transducing adaptor molecule STAM mRNA","U43899_at",3222
"3223","Transcription factor SUPT4H mRNA","U43923_at",3223
"3224","ADD2 Adducin 2 (beta) {alternative products}","U43959_at",3224
"3225","ANK3 Ankyrin 3; node of Ranvier (ankyrin G)","U43965_at",3225
"3226","GB DEF = Thyrotroph embryonic factor (TEF) mRNA","U44059_at",3226
"3227","Homeodomain protein (Prox 1) mRNA","U44060_at",3227
"3228","Histamine N-methyltransferase","U44111_at",3228
"3229","Homozygous deletion target in pancreatic carcinoma (DPC4) mRNA","U44378_at",3229
"3230","D53 (hD53) mRNA","U44429_at",3230
"3231","PSE-binding factor PTF gamma subunit mRNA","U44754_at",3231
"3232","PSE-binding factor PTF delta subunit mRNA","U44755_at",3232
"3233","Palmitoyl protein thioesterase mRNA","U44772_at",3233
"3234","Putative ubiquitin C-terminal hydrolase (UHX1) mRNA","U44839_at",3234
"3235","GB DEF = Nuclear respiratory factor 1 (NRF-1) mRNA; 3' UTR","U44848_at",3235
"3236","DNA-binding protein CPBP (CPBP) mRNA; partial cds","U44975_at",3236
"3237","Specific 116-kDa vacuolar proton pump subunit (OC-116KDa) mRNA","U45285_at",3237
"3238","X-linked inhibitor of apotosis protein XIAP mRNA","U45880_at",3238
"3239","Neuronal membrane glycoprotein M6b mRNA; partial cds","U45955_at",3239
"3240","Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds","U45973_at",3240
"3241","Phosphatidylinositol (4;5) bisphosphate 5-phosphatase homolog mRNA; partial cds","U45974_at",3241
"3242","Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds","U45975_at",3242
"3243","Clathrin assembly protein lymphoid myeloid leukemia (CALM) mRNA","U45976_at",3243
"3244","GB DEF = G protein-coupled receptor GPR-9-6 gene","U45982_at",3244
"3245","GB DEF = CCR8 chemokine receptor (CMKBR8) gene","U45983_at",3245
"3246","Xq28 mRNA","U46023_at",3246
"3247","MTM1 Myotubular myopathy 1","U46024_at",3247
"3248","Chromosome 16p11.2 BAC Clone CIT987SK-234F9 complete sequence","U46025_at",3248
"3249","PTPRG Protein tyrosine phosphatase; receptor type; gamma polypeptide","U46116_at",3249
"3250","Renal cell carcinoma antigen RAGE-4 mRNA; complete putative cds","U46194_at",3250
"3251","GB DEF = Dishevelled homolog (DVL) mRNA","U46461_at",3251
"3252","GLUTATHIONE S-TRANSFERASE; MICROSOMAL","U46499_at",3252
"3253","Aquaporin-5 (AQP5) gene","U46569_at",3253
"3254","Tetratricopeptide repeat protein (tpr1) mRNA","U46570_at",3254
"3255","Tetratricopeptide repeat protein (tpr2) mRNA","U46571_at",3255
"3256","Microsomal aldehyde dehydrogenase (ALD10) mRNA","U46689_at",3256
"3257","Cystatin B gene","U46692_rna1_at",3257
"3258","Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA","U46751_at",3258
"3259","Phosphotyrosine independent ligand p62B B-cell isoform for the Lck SH2 domain mRNA; partial cds","U46752_at",3259
"3260","Monocyte chemoattractant protein-4 precursor (MCP-4) mRNA","U46767_at",3260
"3261","SNCA Synuclein; alpha (non A4 component of amyloid precursor)","U46901_at",3261
"3262","Transcriptional repressor (NAB1) NAB1 mRNA","U47007_at",3262
"3263","FGF8 gene (fibroblast growth factor 8 precursor) extracted from Human fibroblast growth factor 8 (FGF8) gene","U47011_cds1_at",3263
"3264","Putative calcium influx channel (htrp3) mRNA","U47050_at",3264
"3265","Putative mono-ADP-ribosyltransferase (htMART) mRNA","U47054_at",3265
"3266","NifU-like protein (hNifU) mRNA; partial cds","U47101_at",3266
"3267","H105e3 mRNA","U47105_at",3267
"3268","GB DEF = Gamma aminobutyric acid receptor beta4 subunit-like mRNA; partial cds","U47334_at",3268
"3269","Cyclin G2 mRNA","U47414_at",3269
"3270","Nucleolar autoantigen No55 mRNA","U47621_at",3270
"3271","TUBB Beta-tubulin","U47634_at",3271
"3272","D13S824E locus mRNA","U47635_at",3272
"3273","Monocytic leukaemia zinc finger protein (MOZ) mRNA","U47742_at",3273
"3274","Unknown protein B mRNA","U47926_at",3274
"3275","UBIQUITIN CARBOXYL-TERMINAL HYDROLASE T","U47927_at",3275
"3276","Protein A alternatively spliced form 2 (A-2) mRNA","U47928_at",3276
"3277","GB DEF = G-protein beta-3 subunit alternatively spliced form mRNA sequence","U47931_at",3277
"3278","DBP Albumin D-box binding protein","U48213_at",3278
"3279","Bradykinin receptor B1 subtype mRNA","U48231_at",3279
"3280","Protein kinase C-binding protein RACK17 mRNA; partial cds","U48250_at",3280
"3281","Protein kinase C-binding protein RACK7 mRNA; partial cds","U48251_at",3281
"3282","Pre-pro-orphanin FQ (OFQ) mRNA","U48263_at",3282
"3283","Protein tyrosine phosphatase PTPCAAX1 (hPTPCAAX1) mRNA","U48296_at",3283
"3284","GB DEF = G protein coupled receptor OGR1 gene","U48405_at",3284
"3285","Kidney water channel (hKID) mRNA","U48408_at",3285
"3286","Amyloid precursor-like protein 1 mRNA","U48437_at",3286
"3287","GB DEF = Mariner-like element-containing mRNA; clone pcHMT2","U48697_at",3287
"3288","Protein phosphatase-1 inhibitor mRNA","U48707_at",3288
"3289","Serine/threonine-protein kinase PRP4h (PRP4h) mRNA","U48736_at",3289
"3290","Dual specific protein phosphatase mRNA","U48807_at",3290
"3291","CHRNB4 Cholinergic receptor; nicotinic; beta polypeptide 4","U48861_at",3291
"3292","GB DEF = Amiloride-sensitive epithelial sodium channel gamma subunit mRNA; 5' end; partial cds","U48936_at",3292
"3293","Myosin light chain kinase (MLCK) mRNA","U48959_at",3293
"3294","Interleukin-1 receptor-related protein mRNA","U49065_at",3294
"3295","Peptidyl-prolyl isomerase and essential mitotic regulator (PIN1) mRNA","U49070_at",3295
"3296","Transporter protein (g17) mRNA","U49082_at",3296
"3297","Neuroendocrine-dlg (NE-dlg) mRNA","U49089_at",3297
"3298","Prohormone convertase 5 precursor (PC5) mRNA; partial cds","U49114_at",3298
"3299","Placenta (Diff48) mRNA","U49187_at",3299
"3300","Placenta (Diff33) mRNA","U49188_at",3300
"3301","Canalicular multispecific organic anion transporter (cMOAT); gene","U49248_at",3301
"3302","Putative cerebral cortex transcriptional regulator T-Brain-1 (Tbr-1) mRNA","U49250_at",3302
"3303","Mevalonate pyrophosphate decarboxylase (MPD) mRNA","U49260_at",3303
"3304","Putative DNA-binding protein mRNA; partial cds","U49278_at",3304
"3305","Liver 2;4-dienoyl-CoA reductase mRNA","U49352_at",3305
"3306","Diacylglycerol kinase epsilon DGK mRNA","U49379_at",3306
"3307","Ionotropic ATP receptor P2X5a mRNA","U49395_at",3307
"3308","EIF5 Eukaryotic translation initiation factor 5 (eIF5)","U49436_at",3308
"3309","Rhodopsin gene","U49742_at",3309
"3310","DCT Dopachrome tautomerase (dopachrome delta-isomerase; tyrosine-related protein 2)","U49785_at",3310
"3311","LIM protein MLP mRNA","U49837_at",3311
"3312","Protein kinase ATR mRNA","U49844_at",3312
"3313","Transcriptional activator mRNA","U49857_at",3313
"3314","Ubiquitin gene","U49869_rna1_at",3314
"3315","TAK1 binding protein 1 (TAB1) mRNA","U49928_at",3315
